id,Date,Vnindex (%),Tổng KLGD (Tr. CP),Tổng GTGD ( Tỷ VND),GTGD Khớp Lệnh,GTGD Thỏa Thuận,,NDTNN( Tỷ VND),NDTNN Mua,NDTNN Bán,,Tự Doanh( Tỷ VND),Tự Doanh Mua,Tự Doanh Bán,,Cá Nhân TN ( Tỷ VND),CN Trong Nước Mua,CN Trong Nước Bán,,Tổ Chức TN( Tỷ VND),Tổ Chức TN Mua,Tổ Chức TN Bán,,Tổ Chức NN( Tỷ VND),Tổ Chức NN Mua,Tổ Chức NN Bán
1,2023-01-30,-1.30%,772,"13,618","12,578","1,041",,746,"1,730",985,,-375,345,720,,-325,"11,246","11,571",,-421,642,"1,063",,730,"1,682",951
2,2023-01-31,0.78%,724,"13,592","11,726","1,866",,-119,"1,249","1,368",,7,262,254,,283,"11,397","11,114",,-164,946,"1,110",,-19,"1,229","1,248"
3,2023-02-01,-3.17%,994,"17,612","16,383","1,229",,92,"1,577","1,485",,-331,336,668,,740,"15,221","14,481",,-832,814,"1,646",,70,"1,506","1,436"
4,2023-02-02,0.15%,610,"11,044","9,914","1,130",,433,"1,714","1,281",,322,567,244,,-865,"8,281","9,147",,433,"1,049",616,,411,"1,679","1,268"
5,2023-02-03,-0.04%,546,"10,786","9,204","1,582",,530,"1,504",974,,95,384,289,,-89,"7,838","7,927",,-441,"1,444","1,885",,557,"1,488",931
6,2023-02-06,1.13%,504,"9,601","7,264","2,337",,393,"1,495","1,101",,-141,251,393,,-311,"7,222","7,533",,-82,884,966,,409,"1,475","1,066"
7,2023-02-07,-2.15%,644,"12,161","10,014","2,147",,35,"1,051","1,015",,-543,195,738,,-413,"9,409","9,823",,378,"1,701","1,323",,6,"1,003",998
8,2023-02-08,0.60%,542,"10,004","8,093","1,911",,384,"1,623","1,239",,274,373,98,,-692,"7,458","8,150",,308,923,614,,361,"1,570","1,209"
9,2023-02-09,-0.76%,455,"9,216","6,768","2,448",,20,"1,464","1,444",,80,419,339,,-97,"6,740","6,836",,77,"1,012",935,,18,"1,447","1,429"
10,2023-02-10,-0.82%,444,"8,156","6,665","1,490",,28,"1,197","1,169",,-196,141,337,,107,"6,462","6,355",,-135,497,632,,21,"1,180","1,158"
